sale_id,restaurant_code,quantity,sale_date,customer_rating,restaurant_name,category,chain,delivery_fee,location,delivered_on_time,total_price,data_quality_flag
1,R100,2,1/15/2025,2.5,,Mexican,No,50,Maadi,Yes,400.45,OK
2,R101,3,1/16/2025,2.4,,Grills,No,25,New Cairo,Yes,305.67,OK
3,R102,12,1/17/2025,4.2,,Shawerma,No,40,New Cairo,No,5320.67,HIGH PRICE ALERT
4,R103,5,1/18/2025,3.7,,Burgers,Yes,30,New Cairo,Yes,310.67,OK
5,R104,7,1/19/2025,2.6,,Pizza,No,75,New Cairo,Yes,420.66,OK
7,R106,5,1/21/2025,2.9,,Unknown,No,30,New Cairo,Yes,3110.67,"HIGH PRICE ALERT,UNKNOWN RESTAURANT CATEGORY"
8,R107,5,1/22/2025,4.6,,Vegan,No,40,New Cairo,No,1790.52,OK
9,R108,7,1/23/2025,3.8,,Burgers,Yes,30,New Cairo,No,1463.45,OK
10,R109,8,1/24/2025,2.7,,Grills,Yes,50,New Cairo,No,949.63,OK
12,R111,6,1/26/2025,2.5,,Italian,No,40,Maadi,Yes,825.99,OK
13,R112,2,1/27/2025,4.7,,Pizza,No,40,New Cairo,Yes,320.67,OK
14,R113,7,1/28/2025,3.6,,Pizza,Yes,40,Nasr City,Yes,1643.45,OK
15,R103,2,1/29/2025,3.1,,Burgers,Yes,30,New Cairo,No,310.67,OK
16,R107,8,1/30/2025,2.2,,Vegan,No,40,New Cairo,No,2154.5,OK
